,loss,accuracy,val_loss,val_accuracy,lr
0,1.0269008874893188,0.6781278252601624,3.7264392375946045,0.13259899616241455,0.001
1,0.20980983972549438,0.9302859306335449,0.9786028265953064,0.645984411239624,0.001
2,0.09530165791511536,0.9696230292320251,0.3424431383609772,0.8779977560043335,0.001
3,0.060540106147527695,0.9809870719909668,0.019626706838607788,0.9970719218254089,0.001
4,0.043893713504076004,0.9861591458320618,0.10016612708568573,0.9631901979446411,0.001
5,0.039324142038822174,0.9878710508346558,0.9189825057983398,0.7603179216384888,0.001
6,0.019831368699669838,0.9941722750663757,0.00705309072509408,0.9977691173553467,0.0005
7,0.015284193679690361,0.9957020282745361,0.005250332877039909,0.9998605847358704,0.0005
8,0.014598541893064976,0.9957385063171387,0.013354968279600143,0.9967930912971497,0.0005
9,0.012403019703924656,0.9964669346809387,0.008175319992005825,0.9984662532806396,0.0005
10,0.009293255396187305,0.9974139332771301,0.00201241672039032,1.0,0.00025
11,0.008377238176763058,0.9974503517150879,0.0036225635558366776,0.9988845586776733,0.00025
12,0.008042699657380581,0.9978510141372681,0.003383883275091648,0.999302864074707,0.00025
13,0.005945684388279915,0.9983609318733215,0.002601244719699025,0.999023973941803,0.000125
14,0.005938580259680748,0.9982516765594482,0.0008813222520984709,1.0,0.000125
15,0.005358533468097448,0.9983973503112793,0.001330938539467752,1.0,6.25e-05
16,0.005142449401319027,0.9985066652297974,0.001845428254455328,0.9998605847358704,6.25e-05
17,0.004941501654684544,0.9986159205436707,0.0013994356850162148,1.0,3.125e-05
18,0.004188203252851963,0.998725175857544,0.0014240546151995659,1.0,3.125e-05
19,0.0042787035927176476,0.9986887574195862,0.001545930514112115,1.0,1.5625e-05
