,loss,acc,val_loss,val_acc,lr
0,2.9807674884796143,0.12235294282436371,2.174246072769165,0.28058168292045593,0.001
1,1.7412306070327759,0.38181817531585693,1.1393569707870483,0.6047903895378113,0.001
2,1.2445188760757446,0.5456684231758118,0.876913845539093,0.671514093875885,0.001
3,0.9932969212532043,0.6271657943725586,0.6509894728660583,0.7519246935844421,0.001
4,0.8371874690055847,0.6838502883911133,0.7486383318901062,0.7356715202331543,0.001
5,0.7558773159980774,0.7131550908088684,0.8898153305053711,0.7211291790008545,0.001
6,0.7031197547912598,0.7315508127212524,0.6164615750312805,0.8092386722564697,0.001
7,0.6436535120010376,0.7604278326034546,0.6543161273002625,0.7570573091506958,0.001
8,0.6231406927108765,0.7719786167144775,0.5721573233604431,0.7938408851623535,0.001
9,0.5840240716934204,0.7848128080368042,0.5304842591285706,0.8212147355079651,0.001
10,0.5243264436721802,0.7944384813308716,0.5314030051231384,0.8220701217651367,0.001
11,0.4910728633403778,0.8194652199745178,0.441875696182251,0.85628741979599,0.001
12,0.5043384432792664,0.818823516368866,0.409456342458725,0.8485885262489319,0.001
13,0.4936878979206085,0.8203208446502686,0.48547205328941345,0.8383233547210693,0.001
14,0.4322097599506378,0.836791455745697,0.43429869413375854,0.8528656959533691,0.001
15,0.43403342366218567,0.8417112231254578,0.38406437635421753,0.8759623765945435,0.001
16,0.4265225827693939,0.8468449115753174,0.4972461462020874,0.8588536977767944,0.001
17,0.423473060131073,0.8436363339424133,0.42795610427856445,0.8588536977767944,0.001
18,0.41020283102989197,0.8541176319122314,0.3581622242927551,0.8759623765945435,0.001
19,0.38412928581237793,0.8620320558547974,0.4243387281894684,0.8665525913238525,0.001
20,0.38446807861328125,0.8643850088119507,0.39584070444107056,0.8768178224563599,0.001
21,0.36085665225982666,0.8710160255432129,0.37134069204330444,0.8725406527519226,0.001
22,0.34891611337661743,0.8729411959648132,0.3584856688976288,0.8956372737884521,0.001
23,0.36039280891418457,0.8733689785003662,0.406587690114975,0.8639863133430481,0.001
24,0.38340523838996887,0.8622459769248962,0.5647709965705872,0.8554319739341736,0.001
25,0.3382902145385742,0.8757219314575195,0.30576130747795105,0.9059025049209595,0.001
26,0.3411177694797516,0.8744385242462158,0.40880000591278076,0.8887938261032104,0.001
27,0.32066741585731506,0.8872727155685425,0.4363597333431244,0.8870829939842224,0.001
28,0.35367292165756226,0.8722994923591614,0.37440216541290283,0.8913601636886597,0.001
29,0.29903703927993774,0.8911229968070984,0.38294777274131775,0.8922155499458313,0.001
30,0.3505708873271942,0.878288745880127,0.7809991240501404,0.8374679088592529,0.001
31,0.21188679337501526,0.9270588159561157,0.2515432834625244,0.9238665699958801,0.00020000001
32,0.17412309348583221,0.9364705681800842,0.2508559226989746,0.927288293838501,0.00020000001
33,0.1660606861114502,0.9401069283485413,0.2548784911632538,0.9238665699958801,0.00020000001
