,loss,accuracy,val_loss,val_accuracy,lr
0,1.0743871927261353,0.6646512746810913,4.555429458618164,0.06302286684513092,0.001
1,0.21194079518318176,0.9311965107917786,1.3740826845169067,0.5811489224433899,0.001
2,0.10010253638029099,0.9685667753219604,0.14607051014900208,0.953290581703186,0.001
3,0.05982474237680435,0.9812784790992737,0.05664118379354477,0.9818739295005798,0.001
4,0.04785732552409172,0.985394299030304,0.1440419703722,0.953290581703186,0.001
5,0.03736179322004318,0.9881988763809204,0.02843691036105156,0.9902397990226746,0.001
6,0.030812010169029236,0.9902021288871765,0.13126547634601593,0.9552426338195801,0.001
7,0.026319945231080055,0.9915862083435059,0.047121454030275345,0.9852203130722046,0.001
8,0.01604410447180271,0.9949735999107361,0.00601053424179554,0.99832683801651,0.0005
9,0.010695690289139748,0.9966855049133301,0.004176564048975706,0.9988845586776733,0.0005
10,0.008230875246226788,0.9979602694511414,0.009754224680364132,0.99665367603302,0.0005
11,0.010276406072080135,0.9963212609291077,0.008922336623072624,0.996374785900116,0.0005
12,0.007096597924828529,0.9977781772613525,0.0012714314507320523,0.9995816946029663,0.00025
13,0.005086902994662523,0.9986523389816284,0.0028442507609725,0.9991633892059326,0.00025
14,0.005582704674452543,0.9983973503112793,0.004628156777471304,0.999023973941803,0.00025
15,0.004716082010418177,0.9987615942955017,0.0013625127030536532,0.9998605847358704,0.000125
16,0.004510467406362295,0.9989073276519775,0.0011690912069752812,0.999721109867096,0.000125
17,0.004670022055506706,0.9988709092140198,0.001104320865124464,0.9994422793388367,0.000125
18,0.0038368958048522472,0.9986887574195862,0.0015413324581459165,0.999302864074707,6.25e-05
19,0.00398709112778306,0.9989437460899353,0.001023423159494996,0.9998605847358704,6.25e-05
